party,filename,subdir,rel_path,assigned_to
Republican,gallagher-slams-legislative-democrats-for-backing-gavins-gas-tax.txt,Republican,Republican\gallagher-slams-legislative-democrats-for-backing-gavins-gas-tax.txt,Zack
Republican,gallagher-statement-on-assembly-committee-changes.txt,Republican,Republican\gallagher-statement-on-assembly-committee-changes.txt,Zack
Republican,gallagher-calls-for-federal-audit-of-soaring-medi-cal-costs.txt,Republican,Republican\gallagher-calls-for-federal-audit-of-soaring-medi-cal-costs.txt,Zack
Republican,its-been-200-days-since-you-were-promised-gas-price-relief-09-23-2022.txt,Republican,Republican\its-been-200-days-since-you-were-promised-gas-price-relief-09-23-2022.txt,Zack
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-the-natural-resources-committee.txt,Republican,Republican\assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-the-natural-resources-committee.txt,Zack
Republican,gallagher-statement-on-passage-of-budget-proposal.txt,Republican,Republican\gallagher-statement-on-passage-of-budget-proposal.txt,Zack
Republican,for-immediate-release-assemblywoman-laurie-davies-bill-requiring-sober-living-homes-to-post-infractions-signed-into-law.txt,Republican,Republican\for-immediate-release-assemblywoman-laurie-davies-bill-requiring-sober-living-homes-to-post-infractions-signed-into-law.txt,Zack
Republican,for-immediate-release-assemblymember-davies-introduces-bill-to-bolster-protections-for-sexual-assault-victims.txt,Republican,Republican\for-immediate-release-assemblymember-davies-introduces-bill-to-bolster-protections-for-sexual-assault-victims.txt,Zack
