party,press_release,claim_number,references
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,1,0
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,2,0
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,3,0
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,4,0
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,5,0
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,6,0
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,7,0
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,1,0
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,2,0
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,3,0
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,1,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,2,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,4,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,5,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,6,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,7,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,8,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,9,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,10,0
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,11,0
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,1,0
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,2,0
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,3,0
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,4,0
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,1,0
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,2,0
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,3,0
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,4,0
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,1,0
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,2,0
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,0
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,4,0
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,1,0
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,2,0
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,3,0
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,4,0
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,5,0
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,6,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,1,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,2,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,3,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,4,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,5,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,6,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,7,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,8,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,9,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,10,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,12,0
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,13,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,1,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,2,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,4,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,5,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,6,0
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,7,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,1,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,3,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,4,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,5,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,6,0
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,7,0
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,1,0
