party,press_release,claims
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,6
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,6
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,6
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,6
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,6
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,6
Democratic,20220928-loma-linda-university-childrens-hospital-celebrates-new-funding-innovative.txt,6
Democratic,20221001-bill-provide-relief-disabled-veterans-signed-governor.txt,6
Democratic,20221212-new-year-new-laws.txt,6
Democratic,20230502-assemblymember-dr-corey-jackson-leads-first-hearing-select-committee.txt,6
Democratic,20230920-assemblymember-connolly-sends-robust-bill-package-governors-desk.txt,6
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,6
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,6
Democratic,20231009-gov-newsom-signs-ab-1394-enacting-strongest-law-nation-aimed-combating.txt,6
Democratic,20240930-assemblymember-boerners-bill-e-bike-safety-signed-governor.txt,6
Democratic,20241226-new-year-new-laws.txt,6
Democratic,20250702-assemblymember-alvarez-and-california-problem-solvers-announce-bipartisan.txt,6
Democratic,20250716-assemblymember-mark-gonzalez-governor-gavin-newsom-lt-governor-eleni.txt,6
Democratic,acting-governor-eleni-kounalakis-signs-senator-beckers-voter.txt,6
Democratic,highly-destructive-summer-vegetation-wildfires-are-underway-senator-corteses-bill-reducing.txt,6
Democratic,in-victory-justice-reform-state-allocates-18-million-in-gate.txt,6
Democratic,sen-corteses-statement-sb-483-banning-prone-restraints-advancing-governors-desk.txt,6
Democratic,state-senator-josh-becker-proposes-groundbreaking-legislation.txt,6
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,5
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,5
Democratic,20190212-assemblymember-ramos-response-governor-newsom-state-state-address.txt,5
Democratic,20190222-assemblymember-rebecca-bauer-kahan-announces-her-2019-legislative-package.txt,5
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,5
Democratic,20230518-assemblywoman-pilar-schiavo-and-los-angeles-county-delegation-vote-support.txt,5
Democratic,20230615-ramos-applauds-supreme-court-decision-upholding-native-american-rights.txt,5
Democratic,20230714-statement-bill-ensure-traffic-safety-and-protect-e-bike-riders.txt,5
Democratic,20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt,5
Democratic,20240725-ramos-comments-findings-his-prop-47-inland-empire-audit.txt,5
Democratic,20250328-assemblywoman-petrie-norris-honors-four-inspiring-women-7th-annual-women.txt,5
Democratic,be-part-change-change-power-advocacy-day-unites-voices-maternal-mental-health.txt,5
Democratic,bill-combat-online-sexual-exploitation-signed-law.txt,5
Democratic,el-senador-cortese-defiende-el-desarrollo-economico-traves-del-ley-de-expansion-del-centro-de.txt,5
Democratic,senator-cortese-announces-update-sb-553-workplace-violence-prevention.txt,5
Democratic,senator-cortese-introduces-bills-california-judges-association-increase-family-finding.txt,5
Democratic,senator-henry-stern-moves-eight-bills-governors-desk-eventful-close-2024-legislative-session.txt,5
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,4
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,4
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,4
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,4
Democratic,20231207-ramos-commends-la-city-council-helping-implement-feather-alert-system.txt,4
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,4
Democratic,assembly-appropriations-committee-passes-sb-10-stop-child-fentanyl-deaths-other-bills-senator.txt,4
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3
Democratic,20221207-addis-issues-statement-federal-offshore-wind-auction-results.txt,3
Democratic,20230420-statement-assemblywoman-petrie-norris-hearing-fentanyl-bills.txt,3
Democratic,20241217-assemblymember-boerners-statement-ussc-decision-about-new-yorks-broadband.txt,3
Democratic,senate-bill-1111-rick-best-safety-act-signed-law-governor-newsom.txt,3
Democratic,senator-corteses-bills-2021-legislative-session.txt,3
Democratic,20230224-black-history-month-celebration.txt,2
Democratic,senator-corteses-bill-would-protect-inmate-religious-practices.txt,2
Democratic,weber-piersons-transformative-legislative-package-advances-assembly-floor.txt,2
Democratic,20240403-speaker-robert-rivas-announces-gavilan-college-board-trustees-vice.txt,1
Democratic,20250605-assemblymember-mia-bonta-celebrates-legislative-package-focused-creating.txt,1
Democratic,senator-corteses-statement-his-appointment-california-transportation-commission.txt,1
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,12
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,11
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,11
Republican,assembly-republicans-announce-legislation-to-bring-down-gas-prices.txt,10
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,9
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,9
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,9
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,9
Republican,alanis-k-12-education-bills-pass-education-committee.txt,8
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,8
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,7
Republican,gallagher-statement-on-soaring-budget-deficit.txt,7
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,7
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,6
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,6
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,6
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,6
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,6
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,5
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,5
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,5
Republican,democrats-kill-gun-reform-legislation.txt,5
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,5
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,5
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,5
Republican,lawmakers-parents-coaches-celebrate-veto-announcement-of-youth-football-ban.txt,5
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,5
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,5
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,5
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,5
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,5
Republican,additional-legislative-republicans-call-on-attorney-general-bonta-to-investigate-paneragate.txt,4
Republican,assemblyman-alanis-financial-literacy-bill-moves-to-the-senate.txt,4
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,4
Republican,assemblyman-tri-ta-introduces-bill-to-correct-racial-targeting-in-state-employment-law.txt,4
Republican,proyecto-de-ley-apoyando-programas-preescolares-de-participacion-de-padres-supera-el-primer.txt,4
Republican,senator-ochoa-bogh-announces-funding-agricultural-conservation-management.txt,4
Republican,senator-strickland-recognizes-pacific-marine-mammal-center-senate-district-36th-non-profit.txt,4
Republican,assemblyman-alanis-honors-nevaeh-johnson.txt,3
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,3
Republican,senator-brian-jones-votes-against-sb-467.txt,3
Republican,strongdixon-calls-on-legislature-to-pass-fentanyl-bills-strong.txt,3
Republican,senate-minority-leader-jones-announces-bipartisan-agreement-audit-liberty-healthcares-state.txt,2
Republican,senator-niellos-bill-ditch-switch-be-heard-tuesdays-senate-energy-committee-hearing.txt,2
Republican,asm-bill-essayli-to-call-for-floor-vote-on-bowies-law.txt,1
