party,filename,subdir,rel_path,assigned_to
Democratic,20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,Democratic,Democratic\20200930-governor-signs-landmark-legislation-advancing-racial-justice-california.txt,Sai
Democratic,20250317-assemblymember-irwin-introduces-bill-bolster-accounting-workforce.txt,Democratic,Democratic\20250317-assemblymember-irwin-introduces-bill-bolster-accounting-workforce.txt,Sai
Democratic,20220928-governor-newsom-signs-ab-2234-creates-efficiency-and-transparency-building.txt,Democratic,Democratic\20220928-governor-newsom-signs-ab-2234-creates-efficiency-and-transparency-building.txt,Sai
Democratic,20190424-assemblymember-irwins-bill-create-integrated-education-data-system-passes.txt,Democratic,Democratic\20190424-assemblymember-irwins-bill-create-integrated-education-data-system-passes.txt,Sai
Democratic,20200424-assembly-caucus-chair-mike-gipsons-statement-lawsuit-filed-against-governor.txt,Democratic,Democratic\20200424-assembly-caucus-chair-mike-gipsons-statement-lawsuit-filed-against-governor.txt,Sai
Democratic,20200220-assemblymember-irwin-introduces-bill-increase-confidentiality-autopsy.txt,Democratic,Democratic\20200220-assemblymember-irwin-introduces-bill-increase-confidentiality-autopsy.txt,Sai
Democratic,20230223-assemblymember-alvarez-announce-legislation-build-more-affordable-homes.txt,Democratic,Democratic\20230223-assemblymember-alvarez-announce-legislation-build-more-affordable-homes.txt,Sai
