party,press_release,references
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,104
Democratic,20241226-new-year-new-laws.txt,81
Republican,assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,40
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,35
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,19
