party,press_release,claim_number,references
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,6
Democratic,20230727-zbur-releases-statement-2023-2024-california-state-budget.txt,1,6
Democratic,20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt,8,6
Democratic,bills-senator-becker-voter-and-environmental-justice-clear-first-hurdles.txt,2,6
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,7
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,7
Democratic,fifteen-becker-bills-climate-action-social-justice-education-child.txt,3,7
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,8
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,8
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,8
Democratic,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,3,10
Democratic,20250505-papan-bill-restrict-harmful-synthetic-chemicals-cosmetics-and-personal-care.txt,2,10
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,17
Republican,assemblyman-alanis-honors-nevaeh-johnson.txt,3,1
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,5,1
Republican,democrats-kill-gun-reform-legislation.txt,2,1
Republican,alanis-k-12-education-bills-pass-education-committee.txt,1,2
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,1,2
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,2,2
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,5,2
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,6,2
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,7,2
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,8,2
Republican,alanis-k-12-education-bills-pass-education-committee.txt,8,3
Republican,assembly-republicans-announce-legislation-to-bring-down-gas-prices.txt,1,3
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,2,3
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,4,3
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,1,3
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,5,3
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,5,3
Republican,senate-minority-leader-jones-announces-bipartisan-agreement-audit-liberty-healthcares-state.txt,2,3
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,1,3
Republican,assembly-republicans-announce-legislation-to-bring-down-gas-prices.txt,4,4
Republican,assemblyman-alanis-financial-literacy-bill-moves-to-the-senate.txt,3,4
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,10,4
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,3,4
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,4,4
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,5,4
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,5,4
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,9,4
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,6,4
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,3,4
Republican,alanis-k-12-education-bills-pass-education-committee.txt,6,5
Republican,assembly-republicans-announce-legislation-to-bring-down-gas-prices.txt,7,5
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,1,5
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,3,5
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,2,5
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,5,5
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,2,5
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,6,5
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,2,5
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,1,5
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,7,5
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,8,5
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,10,5
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,5,5
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,6,5
Republican,senator-niellos-bill-ditch-switch-be-heard-tuesdays-senate-energy-committee-hearing.txt,1,5
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,1,5
Republican,strongdixon-calls-on-legislature-to-pass-fentanyl-bills-strong.txt,3,5
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,2,5
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,4,6
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,3,6
