party,filename,subdir,rel_path,assigned_to
Democratic,20221223-assemblymember-connolly-appointed-vice-chair-climate-change-policy.txt,Democratic,Democratic\20221223-assemblymember-connolly-appointed-vice-chair-climate-change-policy.txt,Zack
Democratic,senator-becker-and-assemblymember-berman-host-community-meeting.txt,Democratic,Democratic\senator-becker-and-assemblymember-berman-host-community-meeting.txt,Zack
Democratic,20220503-assemblymember-arambula-issues-reminder-california-has-launched-expansion.txt,Democratic,Democratic\20220503-assemblymember-arambula-issues-reminder-california-has-launched-expansion.txt,Zack
Democratic,gilroys-carry-vision-honored-state-senate-district-15s-nonprofit-year.txt,Democratic,Democratic\gilroys-carry-vision-honored-state-senate-district-15s-nonprofit-year.txt,Zack
Democratic,20210217-legislators-announce-effort-support-struggling-restaurants-through-more.txt,Democratic,Democratic\20210217-legislators-announce-effort-support-struggling-restaurants-through-more.txt,Zack
Democratic,20250702-first-nation-ban-plastic-microbeads-personal-products-passes-senate.txt,Democratic,Democratic\20250702-first-nation-ban-plastic-microbeads-personal-products-passes-senate.txt,Zack
Democratic,20170508-gipson-denounces-trumps-flip-flop-hbcu-funding.txt,Democratic,Democratic\20170508-gipson-denounces-trumps-flip-flop-hbcu-funding.txt,Zack
Democratic,20180110-quirk-silva-applauds-more-funding-higher-education-and-small-businesses.txt,Democratic,Democratic\20180110-quirk-silva-applauds-more-funding-higher-education-and-small-businesses.txt,Zack
