party,filename,subdir,rel_path,assigned_to
Republican,senator-grove-issues-statement-bakersfield-being-popular-location-millennials.txt,Republican,Republican\senator-grove-issues-statement-bakersfield-being-popular-location-millennials.txt,Zack
Republican,in-case-you-missed-it-newsoms-employment-policies-are-costing-consumers-more-and-driving-up-inflation.txt,Republican,Republican\in-case-you-missed-it-newsoms-employment-policies-are-costing-consumers-more-and-driving-up-inflation.txt,Zack
Republican,senate-democrats-reject-accountability-illegal-college-protests.txt,Republican,Republican\senate-democrats-reject-accountability-illegal-college-protests.txt,Zack
Republican,sex-trafficking-of-16-and-17-year-old-children-must-be-punished-with-a-felony.txt,Republican,Republican\sex-trafficking-of-16-and-17-year-old-children-must-be-punished-with-a-felony.txt,Zack
Republican,senator-choi-recognizes-reach-foundation.txt,Republican,Republican\senator-choi-recognizes-reach-foundation.txt,Zack
Republican,assemblyman-tri-ta-celebrates-la-county-board-of-supervisors-decision-regarding-changing-offensive-jane-fonda-day.txt,Republican,Republican\assemblyman-tri-ta-celebrates-la-county-board-of-supervisors-decision-regarding-changing-offensive-jane-fonda-day.txt,Zack
Republican,jones-appointed-california-commission-disability-access.txt,Republican,Republican\jones-appointed-california-commission-disability-access.txt,Zack
Republican,gallagher-state-moving-closer-toward-early-prisoner-release-expansion-07-13-2022.txt,Republican,Republican\gallagher-state-moving-closer-toward-early-prisoner-release-expansion-07-13-2022.txt,Zack
