source,documents,documents_with_ai,documents_with_ai_ratio,ai_statements,avg_ai_statements_per_doc,avg_ai_statements_per_ai_doc
Democratic Assembly,5249,254,0.0484,832,0.159,3.276
Republican Assembly,1890,49,0.0259,78,0.041,1.592
