source,total_urls,total_dois,total_arxiv,avg_urls_per_statement,avg_dois_per_statement,avg_arxiv_per_statement
Democratic Assembly,2,0,0,0.002,0.0,0.0
Republican Assembly,0,0,0,0.0,0.0,0.0
