party,filename,subdir,rel_path,assigned_to
Republican,in-case-you-missed-it-while-newsom-was-gone-californias-jobless-ranking-got-even-worse.txt,Republican,Republican\in-case-you-missed-it-while-newsom-was-gone-californias-jobless-ranking-got-even-worse.txt,Sai
Republican,newsom-scrambles-after-refineries-abandon-california.txt,Republican,Republican\newsom-scrambles-after-refineries-abandon-california.txt,Sai
Republican,for-immediate-release-assemblywoman-laurie-davies-bill-promoting-apprenticeships-to-high-schoolers-signed-into-law.txt,Republican,Republican\for-immediate-release-assemblywoman-laurie-davies-bill-promoting-apprenticeships-to-high-schoolers-signed-into-law.txt,Sai
Republican,gallagher-reacts-to-democrats-latest-budget-proposal-06-02-2022.txt,Republican,Republican\gallagher-reacts-to-democrats-latest-budget-proposal-06-02-2022.txt,Sai
Republican,asambleista-jeff-gonzalez-introduce-resolucion-para-reconocer-los-derechos-de-individuos-con-discapacidades-de-desarrollo-a-recibir-atencion-medica.txt,Republican,Republican\asambleista-jeff-gonzalez-introduce-resolucion-para-reconocer-los-derechos-de-individuos-con-discapacidades-de-desarrollo-a-recibir-atencion-medica.txt,Sai
Republican,gallagher-calls-for-special-session-to-combat-homeless-crisis-01-07-2022.txt,Republican,Republican\gallagher-calls-for-special-session-to-combat-homeless-crisis-01-07-2022.txt,Sai
Republican,gallagher-reacts-to-governor-newsoms-shortchanged-water-proposal-08-11-2022.txt,Republican,Republican\gallagher-reacts-to-governor-newsoms-shortchanged-water-proposal-08-11-2022.txt,Sai
