ai_category,ai_statement_count,assigned_to,document_date,double_annotate,filename,has_ai,matched_ai_terms,num_sentences,party,source,unique_arxiv_count,unique_dois_count,unique_urls_count
ai,4,Sai,,0,assembly-democrats-kill-proposals-to-save-girls-sports.txt,True,fairness,13,Republican,Republican Assembly,0,0,0
ai,2,Sai,,0,senate-republican-leader-grove-demands-governor-cancel-35-million-contract-team-biden-firm.txt,True,bias,60,Republican,Republican Assembly,0,0,0
ai,5,Sai,"April 18, 2023",1,assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,True,ai; algorithms; artificial intelligence,22,Republican,Republican Assembly,0,0,0
ai,2,Sai,,0,leader-joness-sexually-violent-predator-accountability-fairness-and-enforcement-act-passes.txt,True,fairness,91,Republican,Republican Assembly,0,0,0
ai,2,Sai,,0,californians-deserve-independent-fair-map-drawing-not-politician-driven-retaliation.txt,True,fairness,76,Republican,Republican Assembly,0,0,0
ai,4,Sai,,1,demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,True,ai,20,Republican,Republican Assembly,0,0,0
nonai,0,Sai,"May 30, 2025",0,assemblymember-dixon-shares-concerns-at-cec-meeting-for-proposed-battery-storage-location-in-south-orange-county.txt,False,,15,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,1,senate-appropriations-what-we-will-see-floor.txt,False,,36,Republican,Republican Assembly,0,0,0
nonai,0,Sai,"March 31, 2022",0,bill-provide-funding-preschool-parent-participation-programs-clears-first-hurdle.txt,False,,50,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,assembly-budget-vice-chair-process-broken-california-cannot-afford-this-unsustainable-budget.txt,False,,15,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,senate-minority-leader-jones-welcomes-senator-alvarado-gil-senate-republican-caucus.txt,False,,82,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,fair-elections-and-representation-are-risk.txt,False,,38,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,1,senator-valladares-joint-authors-no-tax-tips-bill-demands-relief-hardworking-californians.txt,False,,45,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,sen-marie-alvarado-gil-shine-light-small-business-excellence-senators-choice-award.txt,False,,44,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,assemblywoman-leticia-castillo-introduced-first-bill-aimed-at-promoting-adoption-for-teens-facing-unplanned-pregnancies.txt,False,,17,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,1,east-county-californian-mandating-electronic-purchase-receipts-ignores-privacy-and-digital.txt,False,,85,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,1,landmark-bill-to-address-californias-most-pressing-issue-passes-assembly.txt,False,,14,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,parking-senator-brian-jones-office-grand-opening.txt,False,,76,Republican,Republican Assembly,0,0,0
nonai,0,Sai,"November 8, 2024",0,senate-minority-leader-jones-introduces-bill-repeal-newsoms-65-cent-gas-price-hike.txt,False,,84,Republican,Republican Assembly,0,0,0
nonai,0,Sai,,0,alanis-parental-notification-education-bill-signed-into-law.txt,False,,12,Republican,Republican Assembly,0,0,0
