source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai
Democratic Assembly,20160329-bill-decriminalize-military-suicide-clears-first-hurdle.txt,,25,0,,0,0,0,False
Democratic Assembly,20160413-committee-approves-assemblymember-irwins-legislation-support-university.txt,,22,0,,0,0,0,False
Democratic Assembly,20160414-arambula-takes-oath-represent-31st-assembly-district.txt,,46,0,,0,0,0,False
Democratic Assembly,20160420-go-biz-approves-70m-tax-credits-103-companies-adding-over-9300-jobs.txt,,22,0,,0,0,0,False
Democratic Assembly,20160428-arambula-urges-funding-break-down-health-disparities-seeks-more-medical.txt,,41,0,,0,0,0,False
Democratic Assembly,20160504-arambula-and-swearengin-make-strong-case-fresno.txt,,33,0,,0,0,0,False
Democratic Assembly,20160516-45-million-awarded-ventura-county-community-colleges.txt,,28,0,,0,0,0,False
Democratic Assembly,20160517-assemblymember-mike-gipson-and-speaker-rendon-introduce-resolution.txt,"May 18, 2016",22,0,,0,0,0,False
Democratic Assembly,20160524-stellar-biotechnologies-receives-state-recognition-manufacture-life-saving.txt,5/25/2016,35,0,,0,0,0,False
Democratic Assembly,20160527-assembly-budget-include-funds-uc-innovation-initiative.txt,,13,0,,0,0,0,False
Democratic Assembly,20160609-funding-uc-innovation-initiative-included-proposed-budget.txt,,13,0,,0,0,0,False
Democratic Assembly,20160616-audit-reveals-28-million-spent-failed-electronic-medical-record-program.txt,,14,0,,0,0,0,False
Democratic Assembly,20160620-holocaust-survivor-shares-story-hope-forgiveness.txt,,53,0,,0,0,0,False
Democratic Assembly,20160621-play-conejo-honored-inaugural-california-nonprofits-day-celebration-awards.txt,,16,0,,0,0,0,False
Democratic Assembly,20160628-state-budget-includes-22-million-assemblymember-irwins-uc-innovation.txt,,15,0,,0,0,0,False
Democratic Assembly,20160630-ghost-gun-legislation-passes-state-legislature.txt,,14,0,,0,0,0,False
Democratic Assembly,20160705-csu-channel-islands-announces-new-engineering-program.txt,"July 6, 2016",20,0,,0,0,0,False
Democratic Assembly,20160706-temperance-flat-project-partnership-signing-ceremony.txt,,10,0,,0,0,0,False
Democratic Assembly,20160726-asm-irwin-launches-2016-boot-drive-homeless-veterans.txt,,16,0,,0,0,0,False
Democratic Assembly,20160726-asm-irwin-pushes-two-bills-benefit-military-personnel-home.txt,,17,0,,0,0,0,False
Democratic Assembly,20160801-assemblymember-dr-joaquin-arambula-hosts-1st-three-roundtable-discussions.txt,,33,0,,0,0,0,False
