,name,district,title,link,date,party
3907,Tasha Boerner,77,Boerner Horvath Comments on Findings of State Auditor’s Report on UC Admissions Issues,https://a77.asmdc.org/press-releases/20200922-boerner-horvath-comments-findings-state-auditors-report-uc-admissions,"Tuesday, September 22, 2020",Democrat
3908,Tasha Boerner,77,Boys and Girls Club of Oceanside Selected as 2020 Nonprofit of the Year for Assembly District 76,https://a77.asmdc.org/press-releases/20200915-boys-and-girls-club-oceanside-selected-2020-nonprofit-year-assembly,"Tuesday, September 15, 2020",Democrat
3909,Tasha Boerner,77,Boerner Horvath’s Economic Recovery Bill to Save Jobs and Expand Unemployment Benefits to Employees on Reduced Hours Headed to Governor’s Desk,https://a77.asmdc.org/press-releases/20200831-boerner-horvaths-economic-recovery-bill-save-jobs-and-expand-unemployment,"Monday, August 31, 2020",Democrat
3910,Tasha Boerner,77,Boerner Horvath’s Bill to Make it Safe for Sexual Assault Survivors to Testify in Court Headed to Governor’s Desk,https://a77.asmdc.org/press-releases/20200830-boerner-horvaths-bill-make-it-safe-sexual-assault-survivors-testify-court,"Sunday, August 30, 2020",Democrat
3911,Tasha Boerner,77,Boerner Horvath’s Bill to Strengthen and Expand the Carlsbad Marine Hatchery Program Headed to Governor’s Desk,https://a77.asmdc.org/press-releases/20200830-boerner-horvaths-bill-strengthen-and-expand-carlsbad-marine-hatchery,"Sunday, August 30, 2020",Democrat
3912,Tasha Boerner,77,Boerner Horvath’s Bill to Permanently Protect San Onofre State Beach Headed to Governor's Desk,https://a77.asmdc.org/press-releases/20200826-boerner-horvaths-bill-permanently-protect-san-onofre-state-beach-headed,"Wednesday, August 26, 2020",Democrat
3913,Tasha Boerner,77,Boerner Horvath’s Economic Recovery Bill to Streamline State Work Sharing Program Passes Senate Labor Committee,https://a77.asmdc.org/press-releases/20200805-boerner-horvaths-economic-recovery-bill-streamline-state-work-sharing,"Wednesday, August 5, 2020",Democrat
3914,Tasha Boerner,77,Boerner Horvath’s Bill to  Protect San Onofre State Beach Passes Senate Natural Resources Committee,https://a77.asmdc.org/press-releases/20200805-boerner-horvaths-bill-protect-san-onofre-state-beach-passes-senate-natural,"Wednesday, August 5, 2020",Democrat
3915,Tasha Boerner,77,Boerner Horvath’s Bill to Help Victims of Sexual Assault Approved in Senate Public Safety Committee,https://a77.asmdc.org/press-releases/20200731-boerner-horvaths-bill-help-victims-sexual-assault-approved-senate-public,"Friday, July 31, 2020",Democrat
3916,Tasha Boerner,77,Boerner Horvath Comments on Passage of 2020-21 State Budget,https://a77.asmdc.org/press-releases/20200615-boerner-horvath-comments-passage-2020-21-state-budget,"Monday, June 15, 2020",Democrat
3917,Tasha Boerner,77,Boerner Horvath’s Sexual Assault Victim Amnesty Bill Passes the Assembly,https://a77.asmdc.org/press-releases/20200610-boerner-horvaths-sexual-assault-victim-amnesty-bill-passes-assembly,"Wednesday, June 10, 2020",Democrat
3918,Tasha Boerner,77,Boerner Horvath Hosts Food Distribution for Hospitality Workers Impacted by COVID-19 Pandemic,https://a77.asmdc.org/press-releases/20200605-boerner-horvath-hosts-food-distribution-hospitality-workers-impacted-covid,"Friday, June 5, 2020",Democrat
3919,Tasha Boerner,77,Boerner Horvath’s Bill to Ensure Sustainable Fishing Moves Forward,https://a77.asmdc.org/press-releases/20200514-boerner-horvaths-bill-ensure-sustainable-fishing-moves-forward,"Thursday, May 14, 2020",Democrat
3920,Tasha Boerner,77,Statement from Assemblymember Boerner Horvath on the Phase II Reopening of the California Economy,https://a77.asmdc.org/press-releases/20200505-statement-assemblymember-boerner-horvath-phase-ii-reopening-california,"Tuesday, May 5, 2020",Democrat
3921,Tasha Boerner,77,Boerner Horvath Holds Hearing to Identify Sea Level Rise Threats in the San Francisco Bay Area,https://a77.asmdc.org/press-releases/20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco,"Friday, February 7, 2020",Democrat
3922,Tasha Boerner,77,Statement from Assemblymember Tasha Boerner Horvath on the Department of Park & Recreation's Decision to Hold Off on Search for New Concessions Operator,https://a77.asmdc.org/press-releases/20200122-statement-assemblymember-tasha-boerner-horvath-department-park-recreations,"Wednesday, January 22, 2020",Democrat
3923,Tasha Boerner,77,Assemblymember Tasha Boerner Horvath Convenes Select Committee to Examine Impacts of Sea-Level Rise on Coastal Cities,https://a77.asmdc.org/press-releases/20191204-assemblymember-tasha-boerner-horvath-convenes-select-committee-examine,"Wednesday, December 4, 2019",Democrat
3924,Tasha Boerner,77,Free Seminar Educates Seniors How to Avoid Scams,https://a77.asmdc.org/press-releases/20191114-free-seminar-educates-seniors-how-avoid-scams,"Thursday, November 14, 2019",Democrat
3925,Tasha Boerner,77,Assemblymember Tasha Boerner Horvath Presents $1.5 Million Check to MiraCosta College to Expand Veterans Center for Student Veterans,https://a77.asmdc.org/press-releases/20191107-assemblymember-tasha-boerner-horvath-presents-15-million-check-miracosta,"Thursday, November 7, 2019",Democrat
3926,Tasha Boerner,77,Increased Representation of Women on Local Appointed Boards and Commissions with Signing of AB 931,https://a77.asmdc.org/press-releases/20191013-increased-representation-women-local-appointed-boards-and-commissions,"Sunday, October 13, 2019",Democrat
3927,Tasha Boerner,77,Assemblymember Tasha Boerner Horvath Presents $8 Million Check to City of Oceanside for Beachfront Improvements,https://a77.asmdc.org/press-releases/20191009-assemblymember-tasha-boerner-horvath-presents-8-million-check-city,"Wednesday, October 9, 2019",Democrat
3928,Tasha Boerner,77,CalFresh Resource Fair in Vista Provides a “One Stop Shop” for Community Health & Education Resources,https://a77.asmdc.org/press-releases/20191008-calfresh-resource-fair-vista-provides-one-stop-shop-community-health,"Tuesday, October 8, 2019",Democrat
3929,Tasha Boerner,77,Confused About REAL ID?  Get the Real Deal on REAL ID at this Workshop,https://a77.asmdc.org/press-releases/20191001-confused-about-real-id-get-real-deal-real-id-workshop,"Tuesday, October 1, 2019",Democrat
3930,Tasha Boerner,77,Donation Drive Provides Diapers to Low-Income Families During Diaper Need Awareness Week,https://a77.asmdc.org/press-releases/20190923-donation-drive-provides-diapers-low-income-families-during-diaper-need,"Monday, September 23, 2019",Democrat
3931,Tasha Boerner,77,Gender Pricing Small Business Notification Bill (AB 1607) Signed by Governor Newsom,https://a77.asmdc.org/press-releases/20190912-gender-pricing-small-business-notification-bill-ab-1607-signed-governor,"Thursday, September 12, 2019",Democrat
3932,Tasha Boerner,77,Asm. Tasha Boerner Horvath Releases Statement on AB 1482 Vote,https://a77.asmdc.org/press-releases/20190911-asm-tasha-boerner-horvath-releases-statement-ab-1482-vote,"Wednesday, September 11, 2019",Democrat
3933,Tasha Boerner,77,Equal Pay for Equal Play Bill (AB 467) Signed Into Law,https://a77.asmdc.org/press-releases/20190909-equal-pay-equal-play-bill-ab-467-signed-law,"Monday, September 9, 2019",Democrat
3934,Tasha Boerner,77,Asm. Tasha Boerner Horvath’s Bill (AB 1017) Signed into Law to Improve Safety Standards for At-Grade Pedestrian Railroad Crossings,https://a77.asmdc.org/press-releases/20190905-asm-tasha-boerner-horvaths-bill-ab-1017-signed-law-improve-safety-standards,"Thursday, September 5, 2019",Democrat
3935,Tasha Boerner,77,Tri-City Medical Center & San Diego County Reach Agreement to Bring Inpatient Beds Back Online,https://a77.asmdc.org/press-releases/20190827-tri-city-medical-center-san-diego-county-reach-agreement-bring-inpatient,"Tuesday, August 27, 2019",Democrat
3936,Tasha Boerner,77,“Equal Pay for Equal Play” Bill Passes in California Senate with Major Bipartisan Support,https://a77.asmdc.org/press-releases/20190819-equal-pay-equal-play-bill-passes-california-senate-major-bipartisan-support,"Monday, August 19, 2019",Democrat
3937,Tasha Boerner,77,Statement from Assemblymember Tasha Boerner Horvath on her Decision to Make AB 1731 a Two-Year Bill,https://a77.asmdc.org/press-releases/20190710-statement-assemblymember-tasha-boerner-horvath-her-decision-make-ab-1731,"Wednesday, July 10, 2019",Democrat
3938,Tasha Boerner,77,Assemblymember Tasha Boerner Horvath Announces State Budget Funding Secured for North San Diego County,https://a77.asmdc.org/press-releases/20190703-assemblymember-tasha-boerner-horvath-announces-state-budget-funding-secured,"Wednesday, July 3, 2019",Democrat
3939,Tasha Boerner,77,Assemblymember Tasha Boerner Horvath Comments on Assembly’s Passage of the 2019-2020 State Budget,https://a77.asmdc.org/press-releases/20190614-assemblymember-tasha-boerner-horvath-comments-assemblys-passage-2019-2020,"Friday, June 14, 2019",Democrat
3940,Tasha Boerner,77,Assemblymember Tasha Boerner Horvath Introduces Bill Requiring Sports Prize Equity,https://a77.asmdc.org/press-releases/20190214-assemblymember-tasha-boerner-horvath-introduces-bill-requiring-sports-prize,"Thursday, February 14, 2019",Democrat
3941,Tasha Boerner,77,Boerner Horvath Takes Oath as District 76 Assemblymember,https://a77.asmdc.org/press-releases/20181203-boerner-horvath-takes-oath-district-76-assemblymember,"Sunday, December 2, 2018",Democrat
