source,filename,document_date,num_sentences,num_mentions,num_ai_mentions,num_science_mentions,num_claim_like,unique_urls_count,unique_dois_count,unique_arxiv_count,unique_other_refs_count,has_any_reference
Democratic Assembly,20160104-irwin-introduces-bill-ban-sale-powdered-alcohol.txt,,24,3,3,0,0,0,0,0,0,False
Democratic Assembly,20160111-assemblymember-irwin-statement-support-startup-weekend-ventura-county.txt,,14,2,2,0,0,0,0,0,1,True
Democratic Assembly,20160207-assemblymember-mike-gipson-swears-64th-assembly-district-commissioners.txt,"February 6, 2015",39,2,2,0,0,0,0,0,0,False
Democratic Assembly,20160211-irwin-introduces-bill-protect-students-profit-universities.txt,,21,10,8,0,2,0,0,0,0,False
Democratic Assembly,20160223-cybersecurity-select-committee-february-24-update.txt,,30,6,6,0,0,0,0,0,0,False
Democratic Assembly,20160223-hearing-highlights-new-changes-cybersecurity-california.txt,,31,7,5,3,0,0,0,0,0,False
Democratic Assembly,20160226-gipson-issues-statement-support-csu-faculty.txt,,8,3,3,0,0,0,0,0,0,False
Democratic Assembly,20160314-legislation-protect-children-identity-theft-passes-first-test.txt,,18,5,4,0,0,1,0,0,0,True
Democratic Assembly,20160315-sex-trade-offender-program-stop-act-passes-unanimous-support.txt,,25,7,5,1,0,1,0,0,0,True
Democratic Assembly,20160322-gipson-responds-results-caltrans-audit.txt,,30,5,5,0,0,0,0,0,0,False
Democratic Assembly,20160329-bill-decriminalize-military-suicide-clears-first-hurdle.txt,,25,9,6,1,1,1,0,0,0,True
Democratic Assembly,20160413-committee-approves-assemblymember-irwins-legislation-support-university.txt,,22,11,4,7,0,1,0,0,0,True
Democratic Assembly,20160414-arambula-takes-oath-represent-31st-assembly-district.txt,,46,5,5,0,0,0,0,0,0,False
Democratic Assembly,20160420-go-biz-approves-70m-tax-credits-103-companies-adding-over-9300-jobs.txt,,22,1,1,0,0,0,0,0,0,False
Democratic Assembly,20160428-arambula-urges-funding-break-down-health-disparities-seeks-more-medical.txt,,41,8,7,1,0,0,0,0,0,False
Democratic Assembly,20160504-arambula-and-swearengin-make-strong-case-fresno.txt,,33,6,5,1,0,0,0,0,0,False
Democratic Assembly,20160516-45-million-awarded-ventura-county-community-colleges.txt,,28,8,5,2,0,2,0,0,0,True
Democratic Assembly,20160517-assemblymember-mike-gipson-and-speaker-rendon-introduce-resolution.txt,"May 18, 2016",22,2,2,0,0,0,0,0,0,False
Democratic Assembly,20160524-stellar-biotechnologies-receives-state-recognition-manufacture-life-saving.txt,5/25/2016,35,12,7,4,0,1,0,0,1,True
Democratic Assembly,20160527-assembly-budget-include-funds-uc-innovation-initiative.txt,,13,6,2,4,0,0,0,0,0,False
Democratic Assembly,20160609-funding-uc-innovation-initiative-included-proposed-budget.txt,,13,7,2,6,0,0,0,0,1,True
Democratic Assembly,20160616-audit-reveals-28-million-spent-failed-electronic-medical-record-program.txt,,14,5,5,0,0,0,0,0,0,False
Democratic Assembly,20160620-holocaust-survivor-shares-story-hope-forgiveness.txt,,53,18,17,1,0,0,0,0,0,False
Democratic Assembly,20160621-play-conejo-honored-inaugural-california-nonprofits-day-celebration-awards.txt,,16,6,5,0,0,1,0,0,0,True
Democratic Assembly,20160628-state-budget-includes-22-million-assemblymember-irwins-uc-innovation.txt,,15,8,3,5,0,1,0,0,1,True
Democratic Assembly,20160630-ghost-gun-legislation-passes-state-legislature.txt,,14,1,1,0,0,0,0,0,0,False
Democratic Assembly,20160705-csu-channel-islands-announces-new-engineering-program.txt,"July 6, 2016",20,6,4,2,0,0,0,0,1,True
Democratic Assembly,20160706-temperance-flat-project-partnership-signing-ceremony.txt,,10,4,1,3,0,0,0,0,0,False
Democratic Assembly,20160726-asm-irwin-launches-2016-boot-drive-homeless-veterans.txt,,16,6,5,0,0,1,0,0,0,True
Democratic Assembly,20160726-asm-irwin-pushes-two-bills-benefit-military-personnel-home.txt,,17,4,3,0,1,0,0,0,0,False
Democratic Assembly,20160801-assemblymember-dr-joaquin-arambula-hosts-1st-three-roundtable-discussions.txt,,33,4,3,1,0,0,0,0,0,False
Democratic Assembly,20160825-bill-aimed-massive-child-identity-theft-problem-sent-governor.txt,,21,6,4,1,0,1,0,0,0,True
Democratic Assembly,20160914-assemblymember-jacqui-irwin-applauds-passage-bill-protect-california-cyber.txt,,17,4,2,0,0,1,0,0,1,True
Democratic Assembly,20160914-assemblymember-jacqui-irwin-applauds-passage-job-creation-bill-will-bring.txt,,17,10,6,4,0,1,0,0,1,True
Democratic Assembly,20160914-assemblymember-jacqui-irwin-praises-passage-bill-create-free-legal.txt,,13,6,4,1,0,1,0,0,0,True
Democratic Assembly,20161012-289-million-approved-affordable-housing-and-transit-infrastructure.txt,,24,1,1,0,0,0,0,0,0,False
Democratic Assembly,20161024-statement-chair-assembly-committee-veterans-affairs.txt,,14,2,2,0,0,0,0,0,0,False
Democratic Assembly,20161204-rubio-takes-oath-newest-assemblymember-48th-district.txt,,1,0,0,0,0,0,0,0,0,False
Democratic Assembly,20161205-assemblymember-gipson-introduces-bill-close-open-carry-loophole.txt,,22,3,2,0,0,1,0,0,0,True
Democratic Assembly,20161205-berman-takes-oath-newest-assemblymember-24th-district.txt,,9,1,1,0,0,0,0,0,0,False
Democratic Assembly,20161205-gipson-returns-democratic-caucus-chair.txt,,10,4,2,3,0,1,0,0,0,True
Democratic Assembly,20161205-kalra-takes-oath-newest-assemblymember-27th-district.txt,,7,0,0,0,0,0,0,0,0,False
Democratic Assembly,20161205-muratsuchi-takes-oath-returning-state-assemblymember-66th-district.txt,"February 19, 2017",12,2,2,0,0,0,0,0,0,False
Democratic Assembly,20161205-sharon-quirk-silva-takes-oath-newest-assemblymember-65th-district.txt,,7,0,0,0,0,0,0,0,0,False
Democratic Assembly,20161227-quirk-silva-chair-business-development-and-partnership-efforts-assembly.txt,,13,4,3,1,0,0,0,0,0,False
Democratic Assembly,20170109-assemblymember-irwin-received-golden-bear-award-california-enlisted.txt,,16,8,7,0,0,1,0,0,0,True
Democratic Assembly,20170110-assemblymember-arambula-statement-budget-proposal.txt,,9,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170110-gipson-named-grand-marshal-long-beach-mlk-jr-peace-and-unity-parade.txt,"January 14, 2017",23,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170110-quirk-silva-urges-greater-funding-higher-education-state-budget-proposal.txt,,16,3,2,1,0,0,0,0,0,False
Democratic Assembly,20170113-sharon-quirk-silva-honors-many-contributions-korean-americans.txt,,8,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170113-statement-vote-appoint-new-california-attorney-general-xavier-becerra.txt,,8,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170119-assemblymember-al-muratsuchi-statement-south-coast-air-quality-management.txt,,8,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170119-assemblymember-berman-introduces-first-bill-combat-sea-level-rise.txt,"January 1, 2018",12,3,2,1,0,0,0,0,0,False
